inventory_id,store_id,product_id,record_date,stock_qty,reorder_level,stock_status,supplier_lead_days
INV000001,STR004,PRD0051,2023-04-11,110,30,In Stock,4
INV000002,STR039,PRD0014,2023-07-06,21,46,Low Stock,27
INV000003,STR013,PRD0006,2023-02-04,127,29,In Stock,19
INV000004,STR034,PRD0031,2023-11-12,96,11,In Stock,30
INV000005,STR035,PRD0012,2023-09-15,125,10,In Stock,25
INV000006,STR048,PRD0057,2023-02-07,139,15,In Stock,25
INV000007,STR012,PRD0033,2023-04-07,85,19,In Stock,14
INV000008,STR032,PRD0047,2023-03-10,153,47,In Stock,11
INV000009,STR012,PRD0006,2023-05-19,43,29,In Stock,17
INV000010,STR011,PRD0005,2023-11-27,151,18,In Stock,19
INV000011,STR045,PRD0048,2023-12-25,193,20,In Stock,18
INV000012,STR005,PRD0055,2023-07-24,161,40,In Stock,3
INV000013,STR011,PRD0039,2023-02-09,171,5,In Stock,26
INV000014,STR007,PRD0011,2023-05-23,137,12,In Stock,30
INV000015,STR022,PRD0043,2023-11-13,53,29,In Stock,19
INV000016,STR039,PRD0047,2023-08-24,3,47,Low Stock,13
INV000017,STR017,PRD0025,2023-06-17,4,49,Low Stock,10
INV000018,STR011,PRD0007,2023-02-26,97,40,In Stock,18
INV000019,STR042,PRD0053,2023-04-18,176,38,In Stock,15
INV000020,STR027,PRD0015,2023-10-16,0,9,Low Stock,10
INV000021,STR011,PRD0040,2023-12-17,134,47,In Stock,12
INV000022,STR011,PRD0033,2023-02-11,77,19,In Stock,24
INV000023,STR041,PRD0029,2023-09-21,189,20,In Stock,7
INV000024,STR013,PRD0050,2023-07-21,53,34,In Stock,16
INV000025,STR025,PRD0003,2023-11-29,4,40,Low Stock,5
INV000026,STR003,PRD0039,2023-09-13,53,5,In Stock,9
INV000027,STR006,PRD0015,2023-04-24,87,9,In Stock,15
INV000028,STR027,PRD0030,2023-02-09,65,26,In Stock,24
INV000029,STR028,PRD0017,2023-12-23,94,27,In Stock,14
INV000030,STR038,PRD0035,2023-12-13,107,39,In Stock,17
INV000031,STR013,PRD0028,2023-05-25,109,27,In Stock,6
INV000032,STR043,PRD0024,2023-04-29,39,50,Low Stock,15
INV000033,STR047,PRD0057,2023-12-30,99,15,In Stock,22
INV000034,STR024,PRD0002,2023-07-11,163,34,In Stock,10
INV000035,STR047,PRD0037,2023-11-08,125,27,In Stock,29
INV000036,STR021,PRD0050,2023-03-29,162,34,In Stock,22
INV000037,STR045,PRD0018,2023-01-30,34,39,Low Stock,9
INV000038,STR001,PRD0040,2023-10-01,18,47,Low Stock,24
INV000039,STR046,PRD0054,2023-08-14,190,12,In Stock,17
INV000040,STR027,PRD0037,2023-09-03,186,27,In Stock,10
INV000041,STR028,PRD0008,2023-05-19,194,8,In Stock,6
INV000042,STR025,PRD0042,2023-03-14,109,49,In Stock,24
INV000043,STR025,PRD0018,2023-03-31,161,39,In Stock,5
INV000044,STR016,PRD0049,2023-07-23,97,7,In Stock,30
INV000045,STR001,PRD0058,2023-08-28,21,45,Low Stock,16
INV000046,STR046,PRD0023,2023-10-12,179,26,In Stock,16
INV000047,STR029,PRD0032,2023-04-14,135,34,In Stock,12
INV000048,STR024,PRD0022,2023-05-15,70,8,In Stock,20
INV000049,STR043,PRD0038,2023-02-10,63,29,In Stock,5
INV000050,STR045,PRD0050,2023-02-17,60,34,In Stock,3
INV000051,STR029,PRD0004,2023-09-27,51,5,In Stock,28
INV000052,STR019,PRD0004,2023-08-30,164,5,In Stock,16
INV000053,STR047,PRD0044,2023-04-15,197,24,In Stock,15
INV000054,STR020,PRD0048,2023-11-01,29,20,In Stock,7
INV000055,STR003,PRD0027,2023-12-25,116,7,In Stock,27
INV000056,STR029,PRD0047,2023-06-26,6,47,Low Stock,18
INV000057,STR034,PRD0052,2023-12-07,49,11,In Stock,10
INV000058,STR005,PRD0055,2023-04-09,11,40,Low Stock,10
INV000059,STR039,PRD0031,2023-08-04,33,11,In Stock,24
INV000060,STR037,PRD0009,2023-08-15,67,42,In Stock,26
INV000061,STR023,PRD0057,2023-12-13,49,15,In Stock,9
INV000062,STR018,PRD0049,2023-03-06,67,7,In Stock,4
INV000063,STR050,PRD0033,2023-12-12,50,19,In Stock,20
INV000064,STR044,PRD0002,2023-12-16,147,34,In Stock,10
INV000065,STR018,PRD0045,2023-12-08,143,46,In Stock,7
INV000066,STR031,PRD0032,2023-11-20,81,34,In Stock,22
INV000067,STR018,PRD0015,2023-12-30,113,9,In Stock,21
INV000068,STR045,PRD0039,2023-11-15,118,5,In Stock,13
INV000069,STR048,PRD0020,2023-01-06,25,40,Low Stock,13
INV000070,STR007,PRD0012,2023-09-01,69,10,In Stock,16
INV000071,STR024,PRD0041,2023-03-01,37,24,In Stock,30
INV000072,STR002,PRD0022,2023-10-24,109,8,In Stock,18
INV000073,STR040,PRD0055,2023-06-04,124,40,In Stock,26
INV000074,STR049,PRD0026,2023-03-13,115,14,In Stock,25
INV000075,STR006,PRD0040,2023-09-15,171,47,In Stock,27
INV000076,STR011,PRD0046,2023-03-03,45,37,In Stock,11
INV000077,STR048,PRD0002,2023-09-28,180,34,In Stock,8
INV000078,STR039,PRD0048,2023-01-13,122,20,In Stock,14
INV000079,STR048,PRD0028,2023-07-31,137,27,In Stock,18
INV000080,STR042,PRD0008,2023-11-07,43,8,In Stock,13
INV000081,STR005,PRD0015,2023-02-22,65,9,In Stock,27
INV000082,STR037,PRD0052,2023-02-11,138,11,In Stock,4
INV000083,STR028,PRD0053,2023-11-25,30,38,Low Stock,29
INV000084,STR021,PRD0027,2023-01-13,75,7,In Stock,7
INV000085,STR023,PRD0053,2023-01-09,145,38,In Stock,6
INV000086,STR006,PRD0028,2023-11-28,103,27,In Stock,22
INV000087,STR020,PRD0047,2023-06-28,43,47,Low Stock,29
INV000088,STR035,PRD0008,2023-03-28,18,8,In Stock,30
INV000089,STR016,PRD0022,2023-05-19,159,8,In Stock,24
INV000090,STR030,PRD0053,2023-05-12,173,38,In Stock,8
