order_id,customer_id,store_id,channel,order_date,order_total,status,delivery_date
ORD000001,CUST00276,STR011,Online,2023-01-05,890.0,Delivered,2023-10-11
ORD000002,CUST01481,STR035,Online,2023-07-27,2640.0,Delivered,2023-10-11
ORD000003,CUST04943,STR023,Mobile App,2023-01-29,4437.0,Delivered,2023-11-23
ORD000004,CUST02264,STR021,In-Store,2023-02-08,6160.0,Delivered,2023-07-22
ORD000005,CUST01183,STR016,In-Store,2022-01-07,400.0,Delivered,2022-06-15
ORD000006,CUST04312,STR025,In-Store,2023-01-10,60999.5,Delivered,2023-09-07
ORD000007,CUST03999,STR039,In-Store,2022-02-16,2177.0,Delivered,2022-10-07
ORD000008,CUST03470,STR032,Online,2023-10-20,8435.0,Cancelled,
ORD000009,CUST00266,STR041,In-Store,2022-10-04,2560.0,Delivered,2022-11-23
ORD000010,CUST01816,STR043,Online,2023-05-15,1280.0,Delivered,2023-07-22
ORD000011,CUST02868,STR031,Online,2022-07-01,13590.0,Delivered,2023-01-23
ORD000012,CUST01029,STR049,In-Store,2023-02-14,27316.0,Delivered,2023-10-11
ORD000013,CUST00900,STR045,Online,2023-03-02,342.0,Delivered,2023-12-25
ORD000014,CUST02471,STR003,In-Store,2023-03-07,9648.0,Processing,
ORD000015,CUST02799,STR037,Mobile App,2022-11-18,5710.0,Delivered,2023-09-14
ORD000016,CUST02738,STR027,Mobile App,2022-07-11,89221.0,Delivered,2023-10-15
ORD000017,CUST02556,STR036,In-Store,2023-12-18,5385.0,Shipped,
ORD000018,CUST03346,STR048,Online,2023-08-09,1596.0,Delivered,2023-08-22
ORD000019,CUST02129,STR046,Online,2023-08-08,163146.5,Shipped,
ORD000020,CUST00082,STR008,In-Store,2022-07-28,82748.0,Cancelled,
ORD000021,CUST02973,STR043,Online,2023-02-02,23824.0,Delivered,2023-08-12
ORD000022,CUST03208,STR040,In-Store,2022-06-20,5309.0,Delivered,2022-07-26
ORD000023,CUST01779,STR048,Online,2022-07-28,10461.5,Delivered,2023-06-25
