return_id,order_id,return_date,reason,status,refund_amount,resolution_type
RET00001,ORD039838,2023-07-06,Wrong item delivered,Approved,2991.52,Refund
RET00002,ORD031392,2022-09-21,Defective product,Pending,202.73,Store Credit
RET00003,ORD026644,2023-09-10,Damaged packaging,Rejected,2423.96,Exchange
RET00004,ORD005898,2022-07-14,Better price elsewhere,Approved,10341.39,Store Credit
RET00005,ORD013473,2023-11-20,Wrong item delivered,Approved,637.71,Store Credit
RET00006,ORD004365,2022-07-13,Late delivery,Pending,5155.99,Refund
RET00007,ORD038961,2023-03-31,Damaged packaging,Approved,52933.27,Exchange
RET00008,ORD002656,2024-01-14,Late delivery,Rejected,2077.65,Exchange
RET00009,ORD025419,2022-02-08,Wrong item delivered,Pending,9795.96,Refund
RET00010,ORD031215,2023-09-30,Damaged packaging,Rejected,9171.15,Refund
RET00011,ORD033351,2022-10-24,Defective product,Rejected,3542.17,Store Credit
RET00012,ORD037415,2023-11-07,Defective product,Approved,206366.27,Store Credit
RET00013,ORD033683,2023-09-18,Damaged packaging,Approved,3534.99,Refund
RET00014,ORD014917,2023-12-31,Changed mind,Approved,1478.01,Refund
RET00015,ORD046613,2022-11-27,Better price elsewhere,Approved,2465.5,Exchange
RET00016,ORD015149,2023-11-27,Wrong item delivered,Rejected,14705.51,Refund
RET00017,ORD027241,2022-03-13,Late delivery,Pending,860.21,Store Credit
RET00018,ORD031381,2022-04-23,Wrong item delivered,Approved,44924.69,Refund
RET00019,ORD042645,2022-08-15,Changed mind,Approved,10458.32,Exchange
RET00020,ORD027430,2023-05-08,Better price elsewhere,Approved,11547.56,Exchange
RET00021,ORD023300,2022-02-10,Changed mind,Approved,6290.24,Store Credit
RET00022,ORD025234,2022-10-13,Changed mind,Pending,10527.79,Refund
RET00023,ORD039404,2022-10-03,Size not fitting,Approved,2954.24,Store Credit
RET00024,ORD022201,2023-09-23,Wrong item delivered,Pending,8601.39,Exchange
RET00025,ORD027664,2022-09-21,Better price elsewhere,Approved,8316.32,Exchange
RET00026,ORD029970,2023-12-13,Changed mind,Approved,5214.2,Store Credit
RET00027,ORD028650,2023-02-20,Damaged packaging,Approved,4936.35,Refund
RET00028,ORD044839,2022-02-14,Damaged packaging,Approved,96.09,Refund
RET00029,ORD020746,2023-10-19,Wrong item delivered,Approved,1483.11,Store Credit
RET00030,ORD025715,2023-07-19,Wrong item delivered,Approved,17394.71,Refund
RET00031,ORD002790,2022-03-29,Damaged packaging,Rejected,4107.99,Refund
RET00032,ORD049575,2022-09-29,Changed mind,Rejected,5132.02,Refund
RET00033,ORD041003,2023-12-15,Defective product,Approved,491.71,Store Credit
RET00034,ORD041113,2022-12-19,Better price elsewhere,Approved,2106.66,Refund
RET00035,ORD022870,2022-01-17,Changed mind,Rejected,606.39,Refund
RET00036,ORD004997,2023-01-20,Changed mind,Pending,102211.96,Refund
RET00037,ORD042629,2023-05-30,Damaged packaging,Rejected,8826.12,Refund
RET00038,ORD039963,2023-06-23,Wrong item delivered,Approved,1646.93,Store Credit
RET00039,ORD003732,2022-08-20,Changed mind,Pending,1200.24,Store Credit
RET00040,ORD031807,2022-02-24,Better price elsewhere,Pending,16715.3,Store Credit
RET00041,ORD040170,2022-12-16,Late delivery,Pending,9862.54,Exchange
RET00042,ORD041666,2023-02-03,Damaged packaging,Pending,7309.76,Refund
RET00043,ORD029239,2022-06-27,Size not fitting,Approved,10224.22,Refund
RET00044,ORD003821,2022-07-20,Late delivery,Rejected,712.25,Refund
RET00045,ORD013064,2022-09-28,Wrong item delivered,Pending,44456.33,Store Credit
RET00046,ORD007837,2023-10-24,Size not fitting,Approved,3278.15,Refund
RET00047,ORD047725,2023-10-30,Changed mind,Pending,9499.54,Store Credit
RET00048,ORD046033,2022-08-15,Size not fitting,Rejected,62137.16,Store Credit
RET00049,ORD038397,2022-10-28,Defective product,Rejected,15366.27,Refund
RET00050,ORD049554,2022-06-15,Better price elsewhere,Approved,623.72,Exchange
RET00051,ORD047367,2023-02-14,Size not fitting,Pending,10672.74,Refund
RET00052,ORD026165,2023-08-21,Changed mind,Approved,1483.45,Store Credit
RET00053,ORD022251,2023-12-20,Changed mind,Pending,908.88,Exchange
RET00054,ORD031131,2022-11-27,Wrong item delivered,Pending,63534.52,Refund
RET00055,ORD021018,2022-11-18,Changed mind,Approved,37741.1,Exchange
RET00056,ORD049876,2023-02-16,Better price elsewhere,Pending,2842.63,Store Credit
RET00057,ORD043654,2023-10-24,Size not fitting,Approved,1461.1,Refund
RET00058,ORD022693,2023-10-13,Wrong item delivered,Approved,37550.64,Refund
RET00059,ORD026804,2022-06-11,Changed mind,Approved,1925.31,Store Credit
